questions,classes
工伤赔偿问题，这样情况该怎么要求赔偿——我一朋友在跟一老板做装修，在工作过程中不慎跌断了左腿，经治院治疗已出院。老板没有给买工伤保险，也没有签订劳动合同，手上没什么证明是雇佣关系的材料，平时发工钱就直接给的钱。请问：该如何索赔？具体要怎么办？通过什么途径？谢谢！,工伤事故
强行调岗写辞工书未批拿不回来怎么办——公司强行调我们的岗位，从文员调去车间上班。当时很气愤，写了辞工书。我们经理没批，直接给到人事部处理。元旦放完假，找人事部拿回来，人事部不给我们。我们应该怎么办？,辞退解雇
农民工要不到工资该怎么办呢——我是一名普通打工者，年近花甲之年，依靠打工为生。于2014年8月2号到唐山市迁西县黄槐峪村新民居工地，2014年11月19日施工人员到迁西县劳动局、信访局，20号发了点停工生活补助，11月27号工人再次到县政府大门口上访，开发商老任说：12月2号给部分；12月8号给工人发齐工资，12月9号我们再次到信访局、政府讨回公道，至今未拿到工资。因住不起旅馆于12月28号回家，现在二百多农民工不知道怎么办了。目前只想求助好心人、政府依据法律讨回我们应有的劳动所得工资。救救这二百多家庭的生活问题。,员工权益
一年前的加班工资还能要回来么——我是1名国企的员工，2013年由于工作需要，在国定节假日期间按领导要求进行加班，后来由于公司资金紧张原本要发的加班补助工资一直拖着没发。我手上有当时领导和会计签字的工资表格，我想问这个加班工资时间这么久了，还有没有希望要求企业给与发放？,员工权益
不当所得及绩效工资要返还么——您好，我与原单位2014年6月解除劳动合同，但是一直有纠纷，现在公司起诉我在工作期间电脑工作纪律多次修改致使我多领取工资5000多，还有发现我工作期间多次缺勤和旷工，要求返还2013年1月至2014年3月绩效2万多元，今天刚拿到传票，想问一下怎么办，没打过官司，目前不知道对方证据是什么？谢谢拜托了。,未知
工伤怎么鉴定怎么赔偿——我在一个私企上班，工作期间左手后三根指头截肢三根多半截。怎么鉴定，定几级，怎么赔偿？,工伤事故
计件工厂辞职要扣培训费——进厂签了一个新员工须知，里面写到6个月内辞工扣550，另外6个月内辞工所补发的补贴要收回。进厂没认真看，就签了，当时不签的话进不了厂，现在满6个月了离职才知道签了这个！这样的协议合理吗？,劳动合同
计件工厂辞职要扣培训费——进厂签了一个新员工须知，里面写到6个月内辞工扣550，另外6个月内辞工所补发的补贴要收回。进厂没认真看，就签了，当时不签的话进不了厂，现在满6个月了离职才知道签了这个！这样的协议合理吗？,劳动合同
工作能因为专业不同而待遇不同吗——其他条件一致，就因为专业不同，待遇有差别，合理么？,未知
辞职后单位不完全履行调解书内容——工伤辞职后，和原单位协商无果，走劳动仲裁，劳动仲裁判单位支付我390000余元和办理社保部分。后来单位上诉法院，经法院调解达成调解协议书，书中要求单位支付18000元并负责办理社保的一次性医疗补助金。一个月后18000要到了。单位社保那部分从4月一直拖到现在也没办。我现在该如何做？要重新和单位打官司吗？我还能要求按劳动冲裁书要求，让单位赔偿我39000多元吗？社保要求的材料里有一条要求单位开41303的财务凭证，可我调解后只拿到18000。这样是否失去了办社保机会。,辞退解雇
没有社保未签无固定期限劳动合同求助——我多次向有关部门留言没有得到解决！所以在此给您留言请您在百忙中安排解决！我在蚌埠工艺美术学校教学一线连续工作15年有教师资格证，助理讲师，省级美协会员，但是有教师资格证却从来没有享受过教师待遇！2012你之前每月课时量112节课以上！8至10元课时费是我所有报酬！2012年开始学校与我签订了一年一签一式两份的临时劳动合同，1980元是我所有报酬，学校不给交任何社会保险，2014年学校转正一批工人编教师，我想不通干得同样工作同样学历为什么工资待遇相差那么大呢！从1999年在这所学校工作至今没有兼职任何工作，所以谈不上兼职！本人请求按教师法同工同酬同等待遇！按劳动法本人请求签订长期劳动合同！请早日给予解决。感谢！,劳动合同
"工厂普工年休假争议——按照国家的《职工带薪年休假条例》第三条职工累计工作已满1年不满10年的，年休假5天；已满10年不满20年的，年休假10天；已满20年的，年休假15天。有争议.现有些公司给出另外一种说法:职工累计工作已满1年只是享有资格,并不可以休5个带薪年假.这五天年休假要做完第二年后才可以休.做满第1年只是有资格,做满第二年才可以休五天年假.例如:某员工是2013年3月份进的厂,到2014年3月份刚好做满一年,按理说应该是可以休五天年假.但公司给的说法是,2013.3-2014.3这一年只是有资格,是没有年假的.2014.3-2014.12做满这几个月才享有这几个月分摊下来折算的年假.请问这样合法吗?",员工权益
单位违法辞退员工能否拿到赔偿金——我们单位突然开大会辞退36人，所有被辞退人员工作交接完毕后，部分有劳动合同的被告知要么到别的单位去工作要么自己提出辞职申请。我们不是自己想辞职的，并且单位有独立程度民事责任的能力。我们想通过劳动仲裁解决此事，面临一些问题，希望能得到解答。首先我们所有人应该是自己的那份劳动合同不在自己手里，被单位签劳动合同时扣留，其次养老保险证也被扣留。现在劳动关系已经不存在了，劳动合同还没有解除，单位还拖欠2个月的工资没有支付。这种情况下怎样做才能顺利拿到大家的经济补偿，还有经济补偿和赔偿金能否同时适用？希望哪位能给予解答急于知道答案谢谢我的邮箱是756862003@qq.com,辞退解雇
村干部拖欠工资——在村干部的厂里干了两年拖欠我半年工资一年了怎么办,员工权益
老工伤如何解决——1972年在村办砖厂工作，维修机器时扎上右手，造成伤残，经鉴定为六级伤残，上访多年，村、镇、人社局互相推诿，至今未得到解决，我们应怎样维护自己的权益？只是想按照有关法律法规得到妥善解决。,工伤事故
拖欠工资不给怎么办——我只想讨回那点血汗钱。我是一名普通打工者，年近花甲之年，依靠打工为生。于2014年8月2号被邯郸市某建筑安装有限公司一名项目经理招工到唐山市迁西县某新民居工地，任职工程技术管理人员。该项目经理的上一级对口单位是：北京某房地产开发有限公司。该项目的开发商是唐山市一个叫古冶的地方几个人合伙开发。主要人员有：姚某、葛某、任某。项目建筑规模四栋楼约35000平米，据说2013年冬季开工，工程形象进度干完两个地下室，两个基础，据听说施工单位知道了开发商是个骗局不干了。留下很多外债。在施工中得到了证实邯郸市某建筑安装有限公司与北京某房地产开发有限公司签订合同付款条件是：主体结构到四层封顶后付款。工程于2014年11月13号搅拌站停止供应商品混凝土，原因是去年开发商、承包单位欠款63万元，需要浇筑部位4#、3#楼四层顶板，2#楼三层顶板，1#楼二层顶板，2014年11月19日施工人员到迁西县劳动局、信访局，20号发了点停工生活补助，11月27号工人再次到县政府大门口上访，开发商任某说：12月2号给部分；12月8号给工人发齐工资，12月9号我们再次到信访局、政府讨回公道，至今未拿到工资。因住不起旅馆于12月28号回家，二百多工人不知道怎么办了？,员工权益
劳动仲裁只说受理了但不发通知单怎么办？——我于201O年在单位入职至2014年9月被单位电话通知解除劳动关系沒有仼何理由，也不给任何通知单，其间不和签定仼何劳动合同。1O月我向劳动仲裁提交仲裁申请，陕西榆林市劳动仲裁不能按法侓规定程序办案不给受理和不受理通知单和单位狼狈为奸故意拖延时间3个多月，法院也无法受理请问我应该怎么办？,辞退解雇
工伤问题！——请问工伤纠纷从仲裁到走完所有程序要多久时间？,工伤事故
工资和分红——我们公司是国有企业改制，原有员工以买断费用进行入股公司，大批员工为公司股东。我是后面进的公司。公司工资以基本工资+绩效工资的形式。但是公司每年都以效益不好，压低员工工资，然后，年底分红却有保证。这种情况，我们这批新员工（非改制员工）可以采取什么样的措施。谢谢,员工权益
临高县新盈镇环卫工人社会保障问题——我们是海南省某县的环卫工人，全部人数19人，有的已年过花甲古稀，最小的也已四十多岁，我们的工龄多达15年。自新盈镇环卫队1997年成立起，我们最初领的是200元的工资，单位除配给一把铁锹和一个长柄扫把外，锄头、手套和卫生口罩等都是由我们自己掏钱购买，保洁车子坏了要自己掏钱修。十多年过去了，尤其从去年7月起，居民每户垃圾缴费标准增加了一倍，可现在我们每月拿到手的工资只有微薄的550元，远远低于海南三类地区最低工资标准，并且没有任何的福利保障。在物价飞涨的今天，这550元该如何去省吃俭用如何精打细算才能养家糊口？！这几年来，我们没少来回奔波于镇政府、县委县政府、信访局，要求提高工资水平和福利待遇，相关部门总是以各种理由相互推诿。去年，终于等来县里的答复说已经向各个乡镇下发了编制计划。再加上省出台了《关于切实保障环卫及市政管养职工福利待遇的意见》，我们原以为会盼来福音，以为《意见》的出台能为我们争取来我们该有的权益，可镇政府和单位的决策却是：下岗50岁以上（含50岁）职工。更过分的是，去年临近年关，环境卫生大整治，镇政府为了顺利地将50岁以上的我们顺利清除出队伍，宁愿以日薪70元为报酬向外雇工也不让我们参与清洁行动，而我们平时加半天班的加班费才有10元钱啊！镇政府的此举是典型的卸磨杀驴！！我们在这个岗位上从年轻干到老，等来的却是被下岗、被政府离弃？！我们的权益该如何争取？！谁来维护？！,员工权益
农民工与包工头私下签订的欠条有效么——欠条内容欠条今欠XX工程款（XX工程）人员如下张三李四等等总计：XXXXXX元欠款人：xx以上人员共：XX人日期注：以上人名均我们签字按手印，欠款人也一样。请问这样的欠条在法律上生效吗？我们去劳动监察大队去过一次，给公司打过一次电话，所以这个包工头才给我们打的这个欠条，如果工期完成了，公司把工程款给了这个包工头，我们拿不到钱可以拿这个欠条直接起诉他吗？,员工权益
我是讨薪的农民工——我们有五六个农民工，在一起工作的，今年初上的班，一直做到五月份，后来带班的走了，老板工资也没给我们。老板叫那个带班的打个欠条给我们说月底了就打钱给我们的，可是一连等了好几个月，到现在都不给，说要我们找带班的去拿。我们找到了当地的劳动局，可是劳动局说不是老板打的欠条找不到上老板，而那个带班的也找不到，我想寻求你们的帮助。谢谢。,员工权益
《社会保险法》与工伤保险待遇——中华人民共和国社会保险法第四十一条中有关‘工伤保险待遇先行支付’的精神，是否适用于工伤保险伤残补助金的理赔支付上？,工伤事故
《社会保险法》与《工伤保险条例》——《中华人民共和国社会保险法》第四章工伤保险中第四十一条的规定，为什么在新《工伤保险条例》中没有体现出来？,工伤事故
煤矿倒闭工人得病不能解决怎么办——2012年底因一人工伤死亡，没钱赔偿，经县煤监局决定关闭此厂。工人后面几个月工资一直欠到现在。有11人因长期从事采煤作业，犯有2期尘肺4个，1期尘肺7个，老板没钱，我们现在应该去找谁？,工伤事故
企业职工个人可以办理社保卡吗——尊敬的领导、你好、我是一名企业职工（全民）、我国实行社会保障卡有一段时间了、可在我们企业里劳务派遣工有社保卡、我们全民工只有医疗卡、而且医疗卡里费用只能消费在企业所属的医院、不能像社保卡那样取现、请问企业职工个人可以办理社保卡吗,劳动保险
该去哪里申请劳动仲裁——我是陕西人，公司在广东，工作地点在青海，因公司解除未到期的劳动合同，且无赔偿，产生纠纷，请问我要到那里、什么部门申请仲裁？,维权方式
第三方造成工伤是否享受双重赔偿——第三方造成工伤是否享受双重赔偿？,工伤事故
拖欠农民工资怎么办——我岳父是鸡西市鸡东县的人，给私人煤矿老板干活，没有劳务合同。现在煤矿老板把煤矿兑出去了，可是还拖欠好几个月工资不给开，光我岳父就有两万多。他们都是老实人，去老板那要连老板人都看不见，现在也不知道怎么办？我邮箱，kaihe214@vip.qq.com,员工权益
我的工伤应该得到工资补偿吗——您好，我在2013年8月份之前正常上班，9月份以后就到公司的劳务中心，保留职工身份，但不开工资。13年12月份因工受伤，已经被认定工伤，但未评上级，至2014年9月份又恢复正常上班，请问在受伤养伤期间应该得到工资补偿吗？非常需要您的详细解答，在此表示感谢。我的邮箱：anye_00@qq.com,工伤事故
试用期欠薪能申请劳动仲裁么——您好，我劳动合同中未写工资，目前试用期间欠薪，凭借offer邮件（有些薪资待遇）中内容能申请劳动仲裁吗？另，保险也没有按照我的工资基数上是按北京市最低基数上的。手头现有的东西有：公司企业邮箱日常来往邮件、QQ通讯记录（只有少部分涉及补发的内容），无工资条。,员工权益
员工不完成任务领导就不让下班合理么——我们店里面每到周末的时候就会给员工下达任务，要是任务不完成就不让下班，而且没有一切补偿。今天有个员工迟到离，还让我们所有上早班的员工集体义务加班一个小时。我想问，这样做对吗？如果不对，我们该怎么办,员工权益
上班路上个人原因摔伤算不算工伤——您好，请问上班路上个人原因，发生摔伤事故，算不算工伤?,工伤事故
用人单位要解除我的劳动关系——公司要求我们无偿加班，而且加班时间是不固定的，我不愿加班，他就要辞退我，我应该怎么维护我的合法权益？还有我们没有签订劳动合同。,辞退解雇
用人单位解除劳动合同——公司要求加班，没有具体的加班时间，也是无偿加班，我不愿加班，公司就提出要辞退我，这个我应该怎么维护我的合法权益，还有我没有和公司签订劳动合同。,辞退解雇
应聘保险公司被扣钱怎么办——我去保险公司应聘准备上班讲要交500风险抵押金辞职时如数退还，当我岗前培训完，提出不干，结果只退回我300。培训一共4天。人事讲要要回那200，就要在他拿的那张纸背面写正面不是本人签名留我名字。他拿的那张纸是关于入职岗前培训考资格证的车费，餐费，还有入职不到三个月扣200元等，但是这个文件我从来都没接触过也没见过，更没有在上面签过字，我该怎么要回我那200块钱。如果我在那张纸的背面按照他们讲的写，正面不是本人签名和我名字拿到那200元，他们说做笔迹鉴定，我会付法律责任吗？谢谢！邮箱xian123217@126.com,未知
没有签订劳动合同怎样申请双倍工资赔偿——您好！我入职公司二个多月，但公司没有与我签订劳动合同，并且与应聘时的职位及工资均对不上号，经人力资源局调解仍没有解决争议，所以打算申请劳动仲裁。请问在镇人力资源局的接待书上注明要求按劳动法第八十二条索赔及解除劳动关系后，还需要到公司上班吗？,员工权益
解除劳动合同经济补偿怎么计算——律师您好：2000年单位与我协商解除了劳动合同至今未支付解除劳动合同经济补偿，（有证据一直在追诉没失效）解除劳动合同经济补偿是按2000年计算，还是按现在计算？是否追加利息？邮箱：zhang591002sheng@eyou.com,辞退解雇
下岗职工的社保遗留问题——您好，我是一名03年国有企业下岗职工的子女，我父亲是国有企业的一名销售员，03年厂里破产后买断了一批工人，因为销售员有外账所以当年没有买断销售员。但是我父亲在厂里破产前就于2000年5月被厂里通知停职配合检查，原因是得罪了一位厂领导。自配合调查后就没有支付我父亲的薪资，调查确认我父亲没有经济问题后也没有补偿，这个时候时间已经到了2003年，这一年厂里破产了，我父亲迫于家庭生计压力外出务工。现在一晃11年过去了，这11年里全家人面对现实一起努力，爸爸妈妈和我都到处打工，终于我毕业了，父亲有了时间跟精力来处理之的事情，因为再过4年他就到了退休年龄，那个厂的地皮据说也被变卖了。最近去找厂里谈，我们不知道下岗补偿的政策，但是我们知道当初买断职工的政策，厂里现在咬着当年我父亲的29万外债要我们付利息，可是当初他们出了停职通知的时候就已经把我们的账目从跟我们手上转移给了他人，甚至这个钱里还有我们自己垫资的3万元。也许对于政府官员我们只是他厂里的万千下岗职工中的一个遗留问题，但是对于我们这个家庭这个是关系存活养老的一辈子的大事。我想咨询第一他们跟我们谈外帐的利息补偿是否合理，第二买断的标准是否按照当初03年职工买断标准执行，第三00年停止工作配合调查后并没有与我们解除劳动关系，这个工资在还我清白后是不是也应该补偿，肯请律师帮助，谢谢！,劳动保险
是否可以辞职后再仲裁——您好！劳动仲裁要求公司按劳动法第八十二条补偿双倍工资(入职二个多月），是否可以辞职后再仲裁？,辞退解雇
劳动合同不再续签是否应给经济补偿——合同自然到期，厂里不再续签，请问厂里面是否应该支付经济补偿金？,辞退解雇
拖欠工资不给经济补偿该怎么办——我是2011年11月18号到2013年11月18号与房地产公司签的合同，但是在2012年12月18号，老板又成立了贸易公司，（房地产和贸易公司的法人是别外两个人，都不是老板）把我名义上调到贸易公司工作到现在（2013年3月到2013年的9月底期间，又调到老板手下的一轮胎厂建工厂，期间的工资是在轮胎厂发的，2013年10月厂房建完后，又调回贸易公司），但是还是做的房地产的工作，工资还在贸易公司发的，2013年11月18号合同到期后，公司就没有续签，但是这三年来的保险一直是在房地产公司交保险，现在房地产公司形式不好，要裁员，要以贸易公司的名义终止我的合同（而我又没跟贸易公司签合同），让我跟贸易公司结算工资和补偿，但是贸易公司就是个空壳，跟本没钱，法人也不在这个公司管事。公司现在还欠我两个半月的工资，还有按照劳动法，我要求补偿我三个半月的工资，现在公司就推着不给结算，不给我钱，非要让我起诉贸易公司不可，我不知道现在该怎么办？,员工权益
直销人员与直销公司在法律上是属于什么关系——直销人员与直销公司有没有劳动关系？,未知
兼职雇主拖欠工资怎么追讨——14年7月，雇主通过招聘网站找到我，说他想研发一个手机应用，需要找我设计和绘制应用界面。通过协商，我同意并签署了一份有效期三个月的兼职协议，协议中我们协商的是按月支付酬劳，并且雇主特意说明是长期合作。8月份开始正式合作，在工作一个半月后，雇主以资金短缺为由，要求工作满两个月后终止协议，本人同意了。但是在终止协议时，雇主要求扣押1000元酬劳，说是大约两个月后项目结束时支付，本人也同意了。两个月之后，本人再次讨要扣押酬劳的时候，雇主又提出新的工作要求，本人认为合作关系已经结束，不能为其设计新的页面，雇主便以需要等到项目结束为由拒不支付扣押酬劳。在这样的情况下，本人要通过什么样的渠道才能拿回这笔钱呢？望回复，感谢！联系邮箱：uncas@qq.com（谢先生）,员工权益
恶意拖欠员工工资怎么办——老板拖欠员工工资达三年之久，每次催要老板都说“过几天给”现在过了若干个今天还是没有支付工资，现在老板电话都不接了。这种情况该怎么办？谢谢！,员工权益
劳动合同到期没续签该怎么办——我与某房地产公司签订了为期3年的劳动合同。现在3年期限届满，双方没有续签合同，也没有做出中止合同的手续，我仍然在这家公司工作。这种情况要如何认定？,劳动合同
拖欠农民工工资——我是四川籍的包工头，在咸阳从一名安徽籍的大包工头那里接到了工程，目前已经拖欠本人和手下工友约两年30万的工资，手里现在有大包工头的欠条，但大包工头目前已经失联。请问我该如何通过法律途径维护自身权益，要回自己和下面工人的工资？,员工权益
教师被安排守校算加班么——教师在寒暑假期间被安排守校属于加班吗，如何加工资？,员工权益
元旦假期期间要加班是三倍工资吗？——2015年放假安排出来了，根据单位安排，元旦假期期间要加班，请问这期间的工资是怎么计算的啊？是三倍工资吗？,员工权益
村上出义务工我摔伤了怎么办——我因村上组织出义务工，中午骑电动车回家途中不慎摔倒，今医院诊断为右手基底粉碎性骨折并取骻骨植骨刚板固定术共花医药费16500元，医疗报销11564元，剩下5000元和误工费及二次手术费找到村上。村书记说我是出的义务工与村上没关系，村上不承担任何责任，只给300元的慰问金，无奈之下我又多次找到村上和镇上，后银川市要来领导村书记给队长说叫给我说一下村上给我补助3500元，我想手术费和误工费一共15000左右，村上到底成但多少？,工伤事故
企业职工带薪年休假实施办法——您好，请问《企业职工带薪年休假实施办法》第十条中“用人单位经职工同意不安排年休假或者安排职工年休假天数少于应休年休假天数，应当在本年度内对职工应休未休年休假天数，按照其日工资收入的300%支付未休年休假工资报酬，其中包含用人单位支付职工正常工作期间的工资收入。”若企业不执行，是算违法还是违规还是不了了之，如果不予发放，可以进行劳动仲裁吗?,员工权益
半年未领取工资怎么办——在一家工地上班半年未领取工资与生活费等，该怎么办？,员工权益
请假后领导没上报能做为不认定工伤的理由吗——我在必经上班途中被机动车伤害，对方负主要责任。应该说明的是：我向主管我的保安队长电话请假后晚去一个半小时，他向人社局出据了我请了假，是上班途中被撞的书面证明材料。并且我事先和前班保安员打了晚去的电话。通话内容是让他晚走，等我到了他再走。【有通话录音为证】也是由于单位没给职工上保险，使一个简单的工伤认定托了十一个月，最终人社局以单位开过职工代表大会，我请假后保安队长没有上报公司为由未认定我工伤。请问这种说法能够做为不认定我工伤的理由吗？,工伤事故
合同未到期被辞退工资拖欠怎么办——合同没到期，就把我辞退了，而且还有一个月工资没给我发。签过劳动合同一年，也给交社保了，但是合同没有给我，合同没有到期，现在公司把我辞退了，还有一个月的工资也没给我发，以前也有好几个同事跟我的遭遇一样，但是都觉得那么大个公司，都有后台，都就息事宁人了。对于公司这种做法，我该怎么办？,辞退解雇
被辞退后工资能否要回——单位把我辞退了，但是最后一个月的工资没有给我发，我该怎么办？,辞退解雇
恶意拖欠工资怎么办——我们是跟着私人老板干活.我干了一年其他人有2年有不到一年的一直没签合同他现在恶意拖欠我们70多人的工资！工程款全部让他结完了！他就是不发我们工资一直拖拖了快一年了.我们找了当地的有关部门他们也没有给我们解决!就是让我们自己去告他！我们怎么告他？,员工权益
老板跑路我们的工资怎么要——老板跑啦我们怎么办？厂里十几个工人，一个领导都没有。,员工权益
未签劳动合同被辞退怎么办——因单位改制内退回家，原单位又把我找回去按临时工待遇，一干就是十年，现在把我辞退了如何得到补偿。因是建筑单位双休日薪资，从来也未安双薪给予（按天算去一天给一天钱）。单位经理还是工会主席，我找他，他说你爱上那告上那告。我也不知怎么办？特请律师给予解答。谢谢。,辞退解雇
未签合同试用期内被辞退怎么补偿——员工不签合同试用期被辞退，老板不给工资，合法么？怎么补偿？,辞退解雇
职业病鉴定未通过怎么办——职业病鉴定前两次通过了，第三次复查没过，该怎么维权？,工伤事故
小型加工厂怎样維护自己的权益——我们是一家小型(家庭)制衣加工厂，帮别人加工，辛辛苦苦干了几个月，口头协议是这个月货款，下月结清，但半年过去了一直没有收到钱，老板今天推明天，明天推后天，导致我们现在难以维持，我们怎样才能收到我们的加工费，需要哪些材料，应该走哪些程序？谢谢！QQ759629155,员工权益
托欠工资也没证据怎么办——我父母在敦化市的工地打工，是一个修桥的活。当时说好了完工就开工资的，没有签劳动合同。可是现在早已完工了，对方找各种理由不给开工资，现在连人影都见不到。到当地的劳动局去咨询，可当地的劳动局却说金额太小，不愿意受理。我们该怎么办？,员工权益
工程结款——签约人出逃合作人有权结款吗,未知
"法院强制执行速度太慢怎么办？——法院强制执行速度太慢,我怎么办？",未知
拖欠工资没有办法要回也没啥证据怎么办——去年给个人开车，按口头说的，没有书面正据，个人老板不承认工资了，只给了少数，余款不承认了，到现在也没给。我应该怎么办，我都觉得天要塌了,员工权益
厦门失业保险条例剥削外地工——厦门失业保险条例严重剥削外地工人。和国家和省级的失业保险法相违背，怎么办？,未知
企业这样解除劳动合同违法吗——企业搬迁，单方面变更劳动合同中的工作地点（两地相距40公里），在未与员工达成合意的情况下，要求员工到新工作地点上班，员工仍按原合同在原工作地点上班（每天买报纸照相为证），但企业以旷工为由解除劳动合同。企业是否违法？,辞退解雇
劳务派遣中的用工单位怎么担责——派遣工在用人单位工作了8年，用人单位不续签了，用人单位没有签无固定期限合同，有没有过错，我能要求仲裁同工同酬吗？补偿金有没有？要求派遣公司还是用工单位来补偿？,辞退解雇
劳动关系还是劳务关系——我原是集体所有制建筑企业的工程师，当时是任命制；后来改革为股份制，改为聘用制，单位给我下发了聘任书，聘期为6年，但是到第5年时已达到法定退休年龄，因夲人具有工程师职称，符合国务院关于延长部分科技人员延遲退休3-5年规定的规定。请问法律专家：对于上述情况，达到法定退休年龄后仍在聘期內继续工作的，是劳动关系或者是劳务关系?谢谢！,未知
劳动合同法——劳动合同法的内容是什么？我想知道。,劳动合同
无劳动合同拖欠工资怎么办——拖欠农民工工资5万多到现在3年了至今不给，我们也没有劳动合同无能为力，该怎么办？,员工权益
企业不申报办理退休手续怎么办——我是武汉市一名企业职工，因退休年龄问题与企业有劳动争议，经法院判决，现已生效，判决企业补缴养老保险、补发生活费，企业已补缴养老保险，生活费法院已执行。我现已年满57周岁，但是企业不申报办理退休手续怎么办？,辞退解雇
替朋友顶班发生伤害算不算工伤——男朋友替他朋友上班，在工地把腿给砸断了，他老板说他是替别人上班，不能算工伤，替别人上班在工作时间受伤害就不算工伤吗？,工伤事故
劳动争议法律援助——我经济困难，在一个单位工作了两年，未签劳动合同，向劳动仲裁委申请确认劳动关系，可以申请法律援助吗,劳动合同
合同到期是否可以退休——签订过合同但已经到期，一直没有续签也没有辞退，在城区政府大楼内做清洁工作20余年，现在到了退休年龄请问可以退休吗？,劳动合同
校方这样做合理吗？我该怎么办？——我承包学校商店8余年，先头每年写一次合同，近两年没有签订合同。承包费随行就市，最高交过32000（学生数为770人）元，最低交过14000元（学生数为600人）。但今年学校在开前一天突然取消商店。我向学校讨要8年多来的为学校服务的补偿，或养老保险（校方从未买过），学校一分钱不给。校方这样做是否违反了什么法律？校方辞退民办教师和幼儿教师都是一次性了断，解决了报酬还买了养老保险。民办老师和幼儿老师在任教期间校方照当地政策每月发了工资的。而我的工资是给校方缴纳了承包金后所盈的利。民办老师、幼儿老师甚至公办老师、商店承包人都是在为师生服务，为什么什么辞退后的补偿待遇不一样呢？我应该怎样做，用什么法律来维护自己的利益？,劳动合同
临时工如何要求单位赔偿——事业单位工作临时工待遇如何要求单位赔偿？,员工权益
被单位辞退应获什么补偿——我在单位工作二十三年，现单位说本岗位撤消要辞退我，我应获得什么补偿？,辞退解雇
退休工人死亡后遗属补助还有没有——我父亲是河南洛阳国有企业退休工人，今年因病不幸去世，我母亲在家务农，今年80岁了，请问我母亲还能不能享受遗属生活补助？,员工权益
工伤赔偿不公——今年三月初，朋友在工厂造成骨头断裂，这段时间工厂给予每月1600元营养费和医疗费用全报。现在说道到其他赔偿误工费什么的，工厂只愿赔偿2个月的平均工资，这合理吗？,工伤事故
关于企业未与劳动者签订劳动合同的赔偿方法——本人在浙江金华，于2014年1月进入一家私营企业，按照流程，本应该在最晚同年3月份与我签订劳动合同，但企业迟迟未与我签订，一直拖延至今（但企业有帮我交纳社会保险及公积金），所以按照相关劳动法相关条款，企业应该赔偿我相应损失。我告知一下各位一些信息。那请问各位大神，如果按照劳动法条款，企业未与用工者签订劳动合同，同时向当地劳动监察大队举报，假设我从入职至今的月收入10000元，企业应该如何赔偿我？谢谢。,劳动合同
被业主和老板恶意欠薪怎么办——我在凉山州一水电站施工项目部做技术员，干了8个月一直没有发工资，现在老板给我打了一张工资欠条，明确有工作时间及工资标准，拖欠多少工资，但他附加一个条件要我把所有工程计量资料给他才给钱，不然不付钱，我因为没有签订合同，老板也是挂靠公司，为了有个证明我工作的证据所以我只能接受这个欠条，把资料都给他，现在业主要求重新计量老板又不要资料叫我继续做，我想把钱拿了再做，请问我这个欠条拿到劳动局他们会认吗？会不会要求我继续做完才给钱？希望大家帮帮我！业主不给老板钱，老板也不给我，我能向劳动局申请民工工资保证金吗？邮箱153904630@qq.com谢谢,员工权益
过了退休年龄还能申请工伤认定么——2013年11月29日，我母亲，进入某企业工作，某企业安排我母亲与其店内另一家公司签订了劳合同，合同签订时母亲52岁，合同一式两份，某企业一份，用工方一份，母亲没有。2014年，5月15日21时50分，我母亲在工作时摔伤，当即入院治疗，21天后出院，医疗费30250元，用工方支付了22000元后不再付款，由于母亲做了手术（左桡骨内固定术），还有后续医疗费和落下的伤残，我找到该公司负责人，但对方不予理睬。事后我向市劳动局申请工伤认定，劳动局中止了工伤认定，理由是我母亲已过法定退休年龄，我便又向区仲裁委，提出仲裁，结果也是相同理由不予受理。没办法，我便起诉该公司，可本地没有该公司的档案，如果要查档案还得走广东省湛江市去，也不知道湛江市工商局让查吗？我认为某企业故意在模糊的情况下，安排我母亲和第三方公司签订劳动，明知我母亲已超过法定退休年龄，某企业还与我母亲签订一些保证书之类的文件，是违法的，是故意在规避责任，我不知道该怎么去追求真理？也不知道该告谁，更不知道起诉的相关证据材料怎么找？母亲的泪水是我的动力，我该从哪儿找突破口，我还能胜诉吗？,工伤事故
我这样的情况申请劳动仲裁能赢吗——我于11月26日申请离职，离职日期为12月15日（已提交申请单，不知道是否批复），但是就在11月27日，公司把我辞退了，目前工资已经结算，在这有几个问题想问一下：1、我拿到的离职单不是我本人提交的申请单，而是部门主管唆使他人所写，离职日期被篡改为11月27日，这样是否违法2、我手头上有一份部门主管开具的开除文件，已有更高级主管签字，但是人事没有签字，是否可以作为我申请仲裁的依仗（我的看法是部门主管看不能开除就利用一份篡改的离职单逼我离职）3、我的工资底薪为2000元，算上加班一个月有3700元左右，于2013年4月入职，至2014年11月27日已满1年又六个月，如果仲裁成功，公司是否应该赔偿我两个月工资，请问是按加班以后的3700元算还是底薪2000元算4、申请劳动仲裁的申请单是自己提供吗？还是劳动局有提供如果您看到这个帖子，请您及时帮忙解惑，这对我很重要，谢谢,辞退解雇
